"dia","estaci","nivell_absolut","percentatge_volum_embassat","volum_embassat"
"2024-06-20T00:00:00.000","Embassament de la Baells (Cercs)","611.57","50.3","55.03"
"2024-06-20T00:00:00.000","Embassament de Susqueda (Osor)","313.34","33.2","77.36"
"2024-06-20T00:00:00.000","Embassament de Sau (Vilanova de Sau)","405.65","45.3","74.8"
"2024-06-20T00:00:00.000","Embassament de Riudecanyes","194.1","2.2","0.12"
"2024-06-20T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139.02","23","14.03"
"2024-06-20T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.04","2.1","0.25"
"2024-06-19T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139","22.9","14"
"2024-06-19T00:00:00.000","Embassament de Sau (Vilanova de Sau)","405.41","44.8","73.96"
"2024-06-19T00:00:00.000","Embassament de Susqueda (Osor)","313.46","33.3","77.68"
"2024-06-19T00:00:00.000","Embassament de Riudecanyes","194.15","2.3","0.12"
"2024-06-19T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.51","69.4","2.59"
"2024-06-19T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.15","34.7","8.47"
"2024-06-19T00:00:00.000","Embassament de la Baells (Cercs)","611.5","50.1","54.88"
"2024-06-19T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.04","2.1","0.25"
"2024-06-19T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.53","27.6","22.06"
"2024-06-18T00:00:00.000","Embassament de la Baells (Cercs)","611.44","50","54.74"
"2024-06-18T00:00:00.000","Embassament de Susqueda (Osor)","313.61","33.5","78.08"
"2024-06-18T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.15","34.7","8.46"
"2024-06-18T00:00:00.000","Embassament de Riudecanyes","194.22","2.4","0.13"
"2024-06-18T00:00:00.000","Embassament de Sau (Vilanova de Sau)","405.16","44.2","73.06"
"2024-06-18T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.54","69.8","2.61"
"2024-06-18T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.51","27.5","22.03"
"2024-06-18T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139","22.9","14"
"2024-06-18T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.07","2.1","0.25"
"2024-06-17T00:00:00.000","Embassament de Sau (Vilanova de Sau)","404.84","43.5","71.92"
"2024-06-17T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.58","70.3","2.63"
"2024-06-17T00:00:00.000","Embassament de Riudecanyes","194.27","2.4","0.13"
"2024-06-17T00:00:00.000","Embassament de Susqueda (Osor)","313.76","33.7","78.49"
"2024-06-17T00:00:00.000","Embassament de la Baells (Cercs)","611.36","49.9","54.57"
"2024-06-17T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.14","34.7","8.46"
"2024-06-17T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.48","27.5","22"
"2024-06-17T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139","22.9","14"
"2024-06-17T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.09","2.1","0.26"
"2024-06-16T00:00:00.000","Embassament de Susqueda (Osor)","313.93","33.9","78.92"
"2024-06-16T00:00:00.000","Embassament de Riudecanyes","194.3","2.4","0.13"
"2024-06-16T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.44","27.5","21.96"
"2024-06-16T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.59","70.5","2.64"
"2024-06-16T00:00:00.000","Embassament de la Baells (Cercs)","611.27","49.7","54.35"
"2024-06-16T00:00:00.000","Embassament de Darnius Boadella (Darnius)","139","22.9","13.99"
"2024-06-16T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.12","2.1","0.26"
"2024-06-16T00:00:00.000","Embassament de Sau (Vilanova de Sau)","404.46","42.7","70.57"
"2024-06-16T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.13","34.7","8.45"
"2024-06-15T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.4","27.4","21.92"
"2024-06-15T00:00:00.000","Embassament de Susqueda (Osor)","314.04","34","79.22"
"2024-06-15T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.12","34.6","8.44"
"2024-06-15T00:00:00.000","Embassament de Sau (Vilanova de Sau)","403.97","41.7","68.89"
"2024-06-15T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.6","70.6","2.64"
"2024-06-15T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.15","2.1","0.26"
"2024-06-15T00:00:00.000","Embassament de Riudecanyes","194.31","2.4","0.13"
"2024-06-15T00:00:00.000","Embassament de la Baells (Cercs)","611.14","49.4","54.07"
"2024-06-15T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.99","22.9","13.99"
"2024-06-14T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.11","34.6","8.44"
"2024-06-14T00:00:00.000","Embassament de la Baells (Cercs)","610.98","49.1","53.71"
"2024-06-14T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.6","70.7","2.64"
"2024-06-14T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.97","22.8","13.96"
"2024-06-14T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.18","2.1","0.26"
"2024-06-14T00:00:00.000","Embassament de Riudecanyes","194.32","2.4","0.13"
"2024-06-14T00:00:00.000","Embassament de Sau (Vilanova de Sau)","403.29","40.3","66.59"
"2024-06-14T00:00:00.000","Embassament de Susqueda (Osor)","314.12","34.1","79.42"
"2024-06-14T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.36","27.3","21.87"
"2024-06-13T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.21","2.2","0.26"
"2024-06-13T00:00:00.000","Embassament de Sau (Vilanova de Sau)","401.95","36.5","60.4"
"2024-06-13T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.6","70.6","2.64"
"2024-06-13T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","775.29","27.3","21.81"
"2024-06-13T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.94","22.8","13.91"
"2024-06-13T00:00:00.000","Embassament de la Baells (Cercs)","610.74","48.6","53.18"
"2024-06-13T00:00:00.000","Embassament de Riudecanyes","194.32","2.4","0.13"
"2024-06-13T00:00:00.000","Embassament de Susqueda (Osor)","314.19","34.2","79.63"
"2024-06-13T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.1","34.6","8.43"
"2024-06-12T00:00:00.000","Embassament de Susqueda (Osor)","314.04","34","79.22"
"2024-06-12T00:00:00.000","Embassament de Riudecanyes","194.33","2.4","0.13"
"2024-06-12T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.55","69.9","2.62"
"2024-06-12T00:00:00.000","Embassament de Sau (Vilanova de Sau)","398.93","31.9","52.79"
"2024-06-12T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.24","2.2","0.27"
"2024-06-12T00:00:00.000","Embassament de la Baells (Cercs)","610.4","47.9","52.44"
"2024-06-12T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","515.09","34.5","8.42"
